"source_id","priority","category","title","source_type","url","ingest_first","why","notes","extract_symbol"
"langchain_retrieval","P0","RAG overview","LangChain Retrieval","official_doc","https://docs.langchain.com/oss/python/langchain/retrieval","yes","Covers modern RAG retrieval workflow in a widely used framework.","Use as engineering workflow reference."
"llamaindex_rag_concepts","P0","RAG overview","LlamaIndex RAG Concepts","official_doc","https://docs.llamaindex.ai/en/stable/understanding/rag/","yes","Explains RAG from ingestion to query engine in a framework focused on knowledge apps.","Good conceptual backbone."
"rag_paper","P0","RAG paper","Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks","paper","https://arxiv.org/abs/2005.11401","yes","Original RAG paper and grounding for why retrieval helps generation.","Use abstract and method notes first."
"rag_survey_2023","P0","RAG overview","Retrieval-Augmented Generation for Large Language Models: A Survey","paper","https://arxiv.org/abs/2312.10997","yes","Survey covers RAG paradigms, retrieval, generation, augmentation, evaluation and challenges.","Use to broaden taxonomy, key technologies and limitations."
"rag_failure_points","P0","RAG challenges","Seven Failure Points When Engineering a Retrieval Augmented Generation System","paper","https://arxiv.org/abs/2401.05856","yes","Explicitly categorizes common RAG failure modes and validation concerns from real engineering cases.","Use for bottleneck and badcase coverage."
"lost_in_the_middle","P0","RAG challenges","Lost in the Middle: How Language Models Use Long Contexts","paper","https://arxiv.org/abs/2307.03172","yes","Shows long-context models may underuse relevant information depending on its position in the context.","Use for context assembly and long-context bottleneck discussion."
"langchain_document_loaders","P0","document loading","LangChain Document Loader Integrations","official_doc","https://docs.langchain.com/oss/python/integrations/document_loaders/index.md","yes","Explains document loader integrations and source conversion options.","Use current LangChain v1 documentation."
"langchain_pypdf_metadata","P0","document loading","LangChain PyPDFLoader 页码 Metadata 官方实现","github","https://github.com/langchain-ai/langchain-community/blob/f425a3ed1933173fb3694b81359d1519c4f82d36/libs/community/langchain_community/document_loaders/parsers/pdf.py","yes","Defines page-wise PyPDF metadata including source, total_pages, page and page_label.","Pinned official implementation; use PyPDFParser constructor and lazy_parse as behavior evidence.","PyPDFParser.__init__,PyPDFParser.lazy_parse"
"langchain_text_splitters","P0","chunking","LangChain Text Splitter Integrations","official_doc","https://docs.langchain.com/oss/python/integrations/splitters/index.md","yes","Covers text splitter integration choices in current LangChain docs.","Useful for explaining why fixed window is not enough."
"langchain_text_splitter_metadata","P0","chunking","LangChain TextSplitter Chunk Metadata 继承实现","github","https://github.com/langchain-ai/langchain/blob/54383cd12c97eca2fd41984dfed99ea4d4ff1ee9/libs/text-splitters/langchain_text_splitters/base.py","yes","Shows split_documents forwarding Document metadata and create_documents copying it to every chunk.","Pinned official implementation; use as evidence for page metadata preservation after splitting.","TextSplitter.create_documents,TextSplitter.split_documents"
